name,rank,first_year,last_year,first_version,last_version,status,confidence,change_type,proposal,resolves_to,destinations,note
Armatusviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Arteriviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Artiviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Artoviridae,family,2018,2024,MSL33,MSL40,current,current,,,,,
Ascoviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Asemoviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Asfarviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Aspiviridae,family,2017,2024,MSL32,MSL40,current,current,,,,,
Assiduviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Astroviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Atkinsviridae,family,2020,2024,MSL36,MSL40,current,current,,,,,
Autographiviridae,family,2019,2023,MSL35,MSL39,promoted,ambiguous,"Renamed,Promoted",2024.045B.Autographivirales.zip,,no family (class only) (36%); Autotranscriptaviridae (22%); Autonotataviridae (18%); Autoscriptoviridae (16%); Autosignataviridae (8%),"Autographiviridae (MSL39) was promoted; its members are distributed across 4 taxa in MSL40: Autotranscriptaviridae (22%), Autonotataviridae (18%), Autoscriptoviridae (16%), Autosignataviridae (8%). 36% now have no family assignment. A species-level answer needs the genome."
Autolykiviridae,family,2020,2024,MSL36,MSL40,current,current,,,,,
Autonotataviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Autoscriptoviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Autosignataviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Autotranscriptaviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Avsunviroidae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Bacilladnaviridae,family,2017,2024,MSL32,MSL40,current,current,,,,,
Baculoviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Barnaviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Bartogtaviriformidae,family,2022,2024,MSL38,MSL40,current,current,,,,,
Belpaoviridae,family,2017,2024,MSL32,MSL40,current,current,,,,,
Benyviridae,family,2013,2024,MSL28,MSL40,current,current,,,,,
Berryhillviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Betaflexiviridae,family,2009,2024,MSL25,MSL40,current,current,,,,,
Betaormycoviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Bicaudaviridae,family,2009,2024,MSL25,MSL40,current,current,,,,,
Bidnaviridae,family,2011,2024,MSL26,MSL40,current,current,,,,,
Birnaviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Blumeviridae,family,2020,2024,MSL36,MSL40,current,current,,,,,
Bornaviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Botourmiaviridae,family,2018,2024,MSL34,MSL40,current,current,,,,,
Botybirnaviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Brachygtaviriformidae,family,2022,2024,MSL38,MSL40,current,current,,,,,
Bromoviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Bunyaviridae,family,2005,2015,MSL23,MSL30,split,ambiguous,,,,Peribunyaviridae (20%); Phenuiviridae (20%),"Bunyaviridae (MSL30) was split; its members are distributed across 2 taxa in MSL40: Peribunyaviridae (20%), Phenuiviridae (20%). Only 40% of members were traceable by name across this gap; the rest were renamed further or need the VMR. A species-level answer needs the genome."
Burtonviroviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Caliciviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Carmotetraviridae,family,2011,2024,MSL26,MSL40,current,current,,,,,
Casidaviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Casjensviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Caulimoviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Cedratviridae,family,2023,2023,MSL39,MSL39,demoted,genus-inferred,"Renamed,Moved,Demoted",2024.005F.Pimascovirales_reorg.zip,,Pithoviridae (100%),"ICTV: Renamed,Moved,Demoted. Cedratviridae -> Orthocedratvirinae."
Chaacviridae,family,2022,2024,MSL38,MSL40,current,current,,,,,
Chaseviridae,family,2019,2024,MSL35,MSL40,current,current,,,,,
Chimalliviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Chiyouviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Chrysoviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Chuviridae,family,2018,2024,MSL33,MSL40,current,current,,,,,
Circoviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Clavaviridae,family,2011,2024,MSL26,MSL40,current,current,,,,,
Clermontviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Closteroviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Colingsworthviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Comoviridae,family,2005,2008,MSL23,MSL24,renamed,genus-inferred,,,Secoviridae,Secoviridae (100%),Comoviridae (MSL24) maps to Secoviridae in MSL40 (100% of members).
Connertonviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Coronaviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Corticoviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Cremegaviridae,family,2019,2024,MSL35,MSL40,current,current,,,,,
Crepuscuviridae,family,2020,2024,MSL36,MSL40,current,current,,,,,
Crevaviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Cruliviridae,family,2018,2024,MSL33,MSL40,current,current,,,,,
Curvulaviridae,family,2020,2024,MSL36,MSL40,current,current,,,,,
Cystoviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Deltaflexiviridae,family,2017,2024,MSL32,MSL40,current,current,,,,,
Deltanormycoviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Demerecviridae,family,2019,2024,MSL35,MSL40,current,current,,,,,
Dicistroviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Discoviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Dishuiviroviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Draupnirviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Drexlerviridae,family,2019,2024,MSL35,MSL40,current,current,,,,,
Druskaviridae,family,2022,2024,MSL38,MSL40,current,current,,,,,
Duinviridae,family,2020,2024,MSL36,MSL40,current,current,,,,,
Dumbiviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Duneviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Ehrlichviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Ekchuahviridae,family,2022,2024,MSL38,MSL40,current,current,,,,,
Endolinaviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Endornaviridae,family,2008,2024,MSL24,MSL40,current,current,,,,,
Epsomviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Eupolintoviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Eurekaviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Euroniviridae,family,2018,2024,MSL33,MSL40,current,current,,,,,
Felixviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Feraviridae,family,2016,2017,MSL31,MSL32,unknown,sequence-required,,,,,Members not traceable by name or taxon_id (the MSL40 taxnode change affects recent genus renames). Resolve via the VMR exemplar accession.
Fervensviridae,family,2022,2024,MSL38,MSL40,current,current,,,,,
Fiersviridae,family,2020,2024,MSL36,MSL40,current,current,,,,,
Filamentoviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Filoviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Fimoviridae,family,2016,2024,MSL31,MSL40,current,current,,,,,
Finnlakeviridae,family,2019,2024,MSL35,MSL40,current,current,,,,,
Flaviviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Flexireviridae,family,2021,2021,MSL37,MSL37,renamed,genus-inferred,,,Graaviviridae,Graaviviridae (100%),Flexireviridae (MSL37) maps to Graaviviridae in MSL40 (100% of members).
Flexiviridae,family,2005,2008,MSL23,MSL24,split,ambiguous,,,,Betaflexiviridae (67%); Alphaflexiviridae (22%),"Flexiviridae (MSL24) was split; its members are distributed across 2 taxa in MSL40: Betaflexiviridae (67%), Alphaflexiviridae (22%). A species-level answer needs the genome."
Forsetiviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Fredfastierviridae,family,2022,2024,MSL38,MSL40,current,current,,,,,
Fusagraviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Fusariviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Fuselloviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Fuxiviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Gammaflexiviridae,family,2009,2024,MSL25,MSL40,current,current,,,,,
Gammaormycoviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Gandrviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Geminiviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Genomoviridae,family,2015,2024,MSL30,MSL40,current,current,,,,,
Geplanaviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Giardiaviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Globuloviridae,family,2008,2024,MSL24,MSL40,current,current,,,,,
Graaviviridae,family,2022,2024,MSL38,MSL40,current,current,,,,,
Gresnaviridae,family,2019,2024,MSL35,MSL40,current,current,,,,,
Grimontviridae,family,2022,2024,MSL38,MSL40,current,current,,,,,
Guelinviridae,family,2020,2024,MSL36,MSL40,current,current,,,,,
Gulliviroviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Guttaviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Hadakaviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Hafunaviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Hakuzoviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Haloferuviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Halomagnusviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Halspiviridae,family,2019,2024,MSL35,MSL40,current,current,,,,,
Hantaviridae,family,2016,2024,MSL31,MSL40,current,current,,,,,
Helgolandviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Hepadnaviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Hepeviridae,family,2009,2024,MSL25,MSL40,current,current,,,,,
Herelleviridae,family,2018,2024,MSL34,MSL40,current,current,,,,,
Herpesviridae,family,2005,2021,MSL23,MSL37,renamed,exact,Renamed,2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip,Orthoherpesviridae,Orthoherpesviridae (100%),ICTV renamed Herpesviridae to Orthoherpesviridae by MSL40 (Renamed).
Hodgkinviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Huangdiviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Hydriviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Hypoviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Hytrosaviridae,family,2011,2024,MSL26,MSL40,current,current,,,,,
Iflaviridae,family,2008,2024,MSL24,MSL40,current,current,,,,,
Inoviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Inseviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Intestiviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Iridoviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Itzamnaviridae,family,2022,2024,MSL38,MSL40,current,current,,,,,
Jeanschmidtviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Jonviridae,family,2016,2017,MSL31,MSL32,unknown,sequence-required,,,,,Members not traceable by name or taxon_id (the MSL40 taxnode change affects recent genus renames). Resolve via the VMR exemplar accession.
Kairosviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Kanorauviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Kirkoviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Kitaviridae,family,2018,2024,MSL34,MSL40,current,current,,,,,
Kleczkowskaviridae,family,2022,2024,MSL38,MSL40,current,current,,,,,
Kolmioviridae,family,2020,2024,MSL36,MSL40,current,current,,,,,
Konkoviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Konodaiviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Krittikaviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Kruegerviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Kunpengviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Kyanoviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Lakviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Lavidaviridae,family,2015,2022,MSL30,MSL38,split,ambiguous,,,,Maviroviridae (50%); Sputniviroviridae (50%),"Lavidaviridae (MSL38) was split; its members are distributed across 2 taxa in MSL40: Maviroviridae (50%), Sputniviroviridae (50%). A species-level answer needs the genome."
Lebotiviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Leishbuviridae,family,2018,2024,MSL34,MSL40,current,current,,,,,
Leisingerviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Leviviridae,family,2005,2019,MSL23,MSL35,unknown,sequence-required,,,,,Members not traceable by name or taxon_id (the MSL40 taxnode change affects recent genus renames). Resolve via the VMR exemplar accession.
Lindbergviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Lipothrixviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Lispiviridae,family,2018,2024,MSL33,MSL40,current,current,,,,,
Ludisviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Luteoviridae,family,2005,2019,MSL23,MSL35,split,ambiguous,,,,Solemoviridae (67%); Tombusviridae (33%),"Luteoviridae (MSL35) was split; its members are distributed across 2 taxa in MSL40: Solemoviridae (67%), Tombusviridae (33%). A species-level answer needs the genome."
Lutetiaviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Madisaviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Madridviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Mahapunaviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Malacoherpesviridae,family,2008,2024,MSL24,MSL40,current,current,,,,,
Mamonoviridae,family,2022,2024,MSL38,MSL40,current,current,,,,,
Marnaviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Marseilleviridae,family,2013,2024,MSL28,MSL40,current,current,,,,,
Matonaviridae,family,2018,2024,MSL34,MSL40,current,current,,,,,
Matshushitaviridae,family,2020,2022,MSL36,MSL38,renamed,exact,Renamed,2023.047B.Matsushitaviridae_error_correction.zip,Matsushitaviridae,Matsushitaviridae (100%),ICTV renamed Matshushitaviridae to Matsushitaviridae by MSL40 (Renamed).
Matsushitaviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Maviroviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Mayoviridae,family,2019,2024,MSL35,MSL40,current,current,,,,,
Mazoviaviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Medioniviridae,family,2018,2024,MSL33,MSL40,current,current,,,,,
Megabirnaviridae,family,2011,2024,MSL26,MSL40,current,current,,,,,
Megatotiviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Mesomimiviridae,family,2022,2024,MSL38,MSL40,current,current,,,,,
Mesoniviridae,family,2012,2024,MSL27,MSL40,current,current,,,,,
Mestraviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Mesyanzhinovviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Metaviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Metaxyviridae,family,2020,2024,MSL36,MSL40,current,current,,,,,
Microviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Mimiviridae,family,2008,2024,MSL24,MSL40,current,current,,,,,
Mitoviridae,family,2019,2024,MSL35,MSL40,current,current,,,,,
Mktvariviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Molycolviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Monocitiviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Mononiviridae,family,2018,2024,MSL33,MSL40,current,current,,,,,
Mycoalphaviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Mymonaviridae,family,2015,2024,MSL30,MSL40,current,current,,,,,
Myoviridae,family,2005,2020,MSL23,MSL36,split,ambiguous,,,,no family (class only) (44%); Peduoviridae (14%); Kyanoviridae (12%); Straboviridae (11%); Chimalliviridae (8%); Lindbergviridae (3%); Vandenendeviridae (2%); Andersonviridae (1%); Berryhillviridae (1%); Connertonviridae (1%); Hafunaviridae (0%); Vertoviridae (0%); Winoviridae (0%),"Myoviridae (MSL36) was split; its members are distributed across 12 taxa in MSL40: Peduoviridae (14%), Kyanoviridae (12%), Straboviridae (11%), Chimalliviridae (8%).... 44% now have no family assignment. A species-level answer needs the genome."
Mypoviridae,family,2018,2024,MSL33,MSL40,current,current,,,,,
Myriaviridae,family,2020,2024,MSL36,MSL40,current,current,,,,,
Nairoviridae,family,2016,2024,MSL31,MSL40,current,current,,,,,
Nanghoshaviridae,family,2019,2024,MSL35,MSL40,current,current,,,,,
Nanhypoviridae,family,2019,2024,MSL35,MSL40,current,current,,,,,
Nanoviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Naomviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Narnaviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Naryaviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Natareviridae,family,2020,2024,MSL36,MSL40,current,current,,,,,
Nenyaviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Nimaviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Nipumfusiviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Nixviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Nodaviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Noraviridae,family,2022,2024,MSL38,MSL40,current,current,,,,,
Nudiviridae,family,2013,2024,MSL28,MSL40,current,current,,,,,
Nyamiviridae,family,2013,2024,MSL28,MSL40,current,current,,,,,
Obscuriviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Olifoviridae,family,2019,2024,MSL35,MSL40,current,current,,,,,
Omnilimnoviroviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Oomyviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Ootiviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Ophioviridae,family,2008,2016,MSL24,MSL31,renamed,genus-inferred,,,Aspiviridae,Aspiviridae (100%),Ophioviridae (MSL31) maps to Aspiviridae in MSL40 (100% of members).
Orlajensenviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Orpheoviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Orthoherpesviridae,family,2022,2024,MSL38,MSL40,current,current,,,,,
Orthomyxoviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Orthototiviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Ouroboviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Ovaliviridae,family,2018,2024,MSL34,MSL40,current,current,,,,,
Pachyviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Pamosaviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Papillomaviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Paramyxoviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Parnassusviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Partitiviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Parvoviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Paulinoviridae,family,2020,2024,MSL36,MSL40,current,current,,,,,
Pecoviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Peduoviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Peribunyaviridae,family,2016,2024,MSL31,MSL40,current,current,,,,,
Permutotetraviridae,family,2011,2024,MSL26,MSL40,current,current,,,,,
Pervagoviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Phasmaviridae,family,2016,2024,MSL31,MSL40,current,current,,,,,
Phenuiviridae,family,2016,2024,MSL31,MSL40,current,current,,,,,
Phlegiviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Phycodnaviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Phypoliviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Picobirnaviridae,family,2008,2024,MSL24,MSL40,current,current,,,,,
Picornaviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Pigerviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Pistolviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Pithoviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Plasmaviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Plectroviridae,family,2019,2024,MSL35,MSL40,current,current,,,,,
Pleolipoviridae,family,2015,2024,MSL30,MSL40,current,current,,,,,
Pneumoviridae,family,2015,2024,MSL30,MSL40,current,current,,,,,
Podoviridae,family,2005,2020,MSL23,MSL36,split,ambiguous,,,,no family (class only) (87%); Saffermanviridae (6%); Grimontviridae (4%); Mktvariviridae (2%),"Podoviridae (MSL36) was split; its members are distributed across 3 taxa in MSL40: Saffermanviridae (6%), Grimontviridae (4%), Mktvariviridae (2%). 87% now have no family assignment. A species-level answer needs the genome."
Polycipiviridae,family,2017,2024,MSL32,MSL40,current,current,,,,,
Polydnaviridae,family,2005,2020,MSL23,MSL36,unknown,sequence-required,,,,,Members not traceable by name or taxon_id (the MSL40 taxnode change affects recent genus renames). Resolve via the VMR exemplar accession.
Polydnaviriformidae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Polymycoviridae,family,2019,2024,MSL35,MSL40,current,current,,,,,
Polyomaviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Pootjesviridae,family,2022,2024,MSL38,MSL40,current,current,,,,,
Portogloboviridae,family,2017,2024,MSL32,MSL40,current,current,,,,,
Pospiviroidae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Potyviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Poxviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Pseudototiviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Pseudoviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Pungoviridae,family,2022,2024,MSL38,MSL40,current,current,,,,,
Pyrstoviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Qinviridae,family,2018,2024,MSL33,MSL40,current,current,,,,,
Quadriviridae,family,2012,2024,MSL27,MSL40,current,current,,,,,
Quambiviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Queuoviridae,family,2021,2021,MSL37,MSL37,renamed,genus-inferred,,,Druskaviridae,Druskaviridae (100%),Queuoviridae (MSL37) maps to Druskaviridae in MSL40 (100% of members).
Redondoviridae,family,2019,2024,MSL35,MSL40,current,current,,,,,
Reoviridae,family,2005,2020,MSL23,MSL36,split,ambiguous,,,,Spinareoviridae (60%); Sedoreoviridae (40%),"Reoviridae (MSL36) was split; its members are distributed across 2 taxa in MSL40: Spinareoviridae (60%), Sedoreoviridae (40%). A species-level answer needs the genome."
Retroviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Rhabdoviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Rhodogtaviriformidae,family,2022,2024,MSL38,MSL40,current,current,,,,,
Roniviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Rountreeviridae,family,2020,2024,MSL36,MSL40,current,current,,,,,
Rudiviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Ruviroviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Saffermanviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Salasmaviridae,family,2020,2024,MSL36,MSL40,current,current,,,,,
Saparoviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Sarkviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Sarthroviridae,family,2015,2024,MSL30,MSL40,current,current,,,,,
Satyavativiridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Schitoviridae,family,2020,2024,MSL36,MSL40,current,current,,,,,
Schizomimiviridae,family,2022,2024,MSL38,MSL40,current,current,,,,,
Secoviridae,family,2009,2024,MSL25,MSL40,current,current,,,,,
Sedoreoviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Sequiviridae,family,2005,2008,MSL23,MSL24,renamed,genus-inferred,,,Secoviridae,Secoviridae (100%),Sequiviridae (MSL24) maps to Secoviridae in MSL40 (100% of members).
Shortaselviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Simuloviridae,family,2020,2024,MSL36,MSL40,current,current,,,,,
Sinhaliviridae,family,2019,2024,MSL35,MSL40,current,current,,,,,
